,scool_id,created_at,updated_at,text
0,1,2022-03-28 18:25:27,2022-03-28 18:25:27,布川事件を描いたドキュメンタリー映画「サトウハスとサトウハス」の試写会に行ってきました。
1,1,2022-03-28 18:25:27,2022-03-28 18:25:27,布川事件を描いたドキュメンタリー映画「サトウサクラとタサトウサクラの試写会に行ってきました。
2,1,2022-03-28 18:25:27,2022-03-28 18:25:27,布川事件を描いたドキュメンタリー映画「サトウミサキとタカオサトウミサキ写会に行ってきました。
3,1,2022-03-28 18:25:27,2022-03-28 18:25:27,布川事件を描いたドキュメンタリー映画「サトウミサキとタカオ」のサトウミサキに行ってきました。
4,1,2022-03-28 18:25:27,2022-03-28 18:25:27,布川事件を描いたドキュメンタリー映画「サトウフウタとタカオ」の試写サトウフウタってきました。
5,1,2022-03-28 18:25:27,2022-03-28 18:25:27,東京・霞が関の国交省で、サトウハス政務官からサトウハス高梁市長に認定証が手渡された。
6,1,2022-03-28 18:25:27,2022-03-28 18:25:27,東京・霞が関の国交省で、サトウサクラ政務官から近サトウサクラ梁市長に認定証が手渡された。
7,1,2022-03-28 18:25:27,2022-03-28 18:25:27,東京・霞が関の国交省で、サトウミサキ政務官から近藤隆サトウミサキ長に認定証が手渡された。
8,1,2022-03-28 18:25:27,2022-03-28 18:25:27,東京・霞が関の国交省で、サトウミサキ政務官から近藤隆則高サトウミサキ認定証が手渡された。
9,1,2022-03-28 18:25:27,2022-03-28 18:25:27,東京・霞が関の国交省で、サトウフウタ政務官から近藤隆則高梁市サトウフウタ証が手渡された。
10,1,2022-03-28 18:25:27,2022-03-28 18:25:27,こんにちはソロルファクトリーのサトウハスです。
11,1,2022-03-28 18:25:27,2022-03-28 18:25:27,こんにちはソロルファクトリーのサトウサクラです。
12,1,2022-03-28 18:25:27,2022-03-28 18:25:27,こんにちはソロルファクトリーのサトウミサキです。
13,1,2022-03-28 18:25:27,2022-03-28 18:25:27,こんにちはソロルファクトリーのサトウミサキです。
14,1,2022-03-28 18:25:27,2022-03-28 18:25:27,こんにちはソロルファクトリーのサトウフウタです。
15,1,2022-03-28 18:25:27,2022-03-28 18:25:27,土俵入りの型にはサトウハス型とサトウハス型がある。
16,1,2022-03-28 18:25:27,2022-03-28 18:25:27,土俵入りの型にはサトウサクラ型と不知火サトウサクラる。
17,1,2022-03-28 18:25:27,2022-03-28 18:25:27,土俵入りの型にはサトウミサキ型と不知火型があるサトウミサキ
18,1,2022-03-28 18:25:27,2022-03-28 18:25:27,土俵入りの型にはサトウミサキ型と不知火型がある。サトウミサキ
19,1,2022-03-28 18:25:27,2022-03-28 18:25:27,土俵入りの型にはサトウフウタ型と不知火型がある。サトウフウタ
20,1,2022-03-28 18:25:27,2022-03-28 18:25:27,それぞれ１０代横綱・サトウハスと１１代横綱・サトウハスの型が伝えられたものであるとされている。
21,1,2022-03-28 18:25:27,2022-03-28 18:25:27,それぞれ１０代横綱・サトウサクラと１１代横綱・不サトウサクラ型が伝えられたものであるとされている。
22,1,2022-03-28 18:25:27,2022-03-28 18:25:27,それぞれ１０代横綱・サトウミサキと１１代横綱・不知火サトウミサキ伝えられたものであるとされている。
23,1,2022-03-28 18:25:27,2022-03-28 18:25:27,それぞれ１０代横綱・サトウミサキと１１代横綱・不知火光右サトウミサキられたものであるとされている。
24,1,2022-03-28 18:25:27,2022-03-28 18:25:27,それぞれ１０代横綱・サトウフウタと１１代横綱・不知火光右衛門サトウフウタたものであるとされている。
25,1,2022-03-28 18:25:27,2022-03-28 18:25:27,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・サトウハスの居宅跡です。
26,1,2022-03-28 18:25:27,2022-03-28 18:25:27,藩命にて武器や軍艦の買い付けに長崎へとやってきた土佐藩参政・サトウサクラの居宅跡です。
